Iso3_code;Country;Region;Subregion;Indicator;Category;Unit of measurement;Source;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;0;0;0;0;0;0;:
AND;Andorra;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;1;:;:;:;:;:
BGR;Bulgaria;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;0;0;0;0;0;2;:
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;:;:;:;:;1;:
CZE;Czechia;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;0;0;0;0;0;0;:
DEU;Germany;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;1;2;0;:;:;:;:
DNK;Denmark;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;3;:;:;1;:;:;1;:;:
ESP;Spain;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS/SDG;:;:;39;41;30;66;50;46;6
FIN;Finland;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;0;2;0;0;0;0;:;0;:
GBR_EW;United Kingdom (England and Wales);Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;4;6;12;21;31;67;:;:;:
GRC;Greece;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;11;2;5;11;:;16;:
HRV;Croatia;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;:;:;:;0;0;:
HUN;Hungary;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;2;0;0;0;0;:
ISL;Iceland;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;1;0;0;0;0;0;0;:;:
ITA;Italy;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;:;:;:;:;23;:
LIE;Liechtenstein;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;0;0;0;:;0;:
LTU;Lithuania;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;1;0;0;0;0;0;0;0;:
LUX;Luxembourg;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;0;0;1;:;:;:
LVA;Latvia;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;1;1;3;1;2;:
MCO;Monaco;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;0;:;:;:;:;:
MDA;Republic of Moldova;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;0;0;0;0;:;:;:
MLT;Malta;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;:;0;0;2;0;:
MNE;Montenegro;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;0;:;0;:;0;:
NOR;Norway;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;:;:;:;0;0;:
POL;Poland;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;10;6;3;6;:;9;6;2;:
ROU;Romania;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;:;1;3;2;7;:
RUS;Russian Federation;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;186;239;227;174;177;177;:
SRB;Serbia;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;8;1;1;3;0;6;2;2;:
SVK;Slovakia;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;0;0;0;:;0;:
SVN;Slovenia;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;:;:;:;0;0;0;0;0;:
SWE;Sweden;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by accident or other causes;Counts;CTS;0;1;1;0;0;0;0;0;:
