Iso3_code;Country;Region;Subregion;Indicator;Sex;Unit of measurement;Source;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;2262;2526;2778;2706;2965;4551;4559;4575;4536;4909;5580;5860;5933;5581;5207;4959;:;:
AND;Andorra;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;:;:;:;63;60;45;36;42;29;37;41;32;42;38;45;43;:;:
AUT;Austria;Europe;Western Europe;Persons held;Male;Counts;Computed;:;:;7771;7886;7648;7011;7625;7752;7882;8226;8318;8185;:;8127;8334;8600;8466;:;:
BEL;Belgium;Europe;Western Europe;Persons held;Male;Counts;Computed;35789;40488;39263;42823;43714;41399;37277;36639;33982;26901;26485;27544;:;:;:;:;:;:;:
BGR;Bulgaria;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;:;:;:;:;:;:;10355;:;:;:;:;:;:
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;:;:;:;:;:;:;:;:;2310;3076;4373;:;:
BLR;Belarus;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;10519;11046;10680;9933;9116;8765;9088;9596;9184;8570;7611;7162;7117;6769;6436;6232;:;:
CHE;Switzerland;Europe;Western Europe;Persons held;Male;Counts;Computed/SDG;:;:;:;:;:;:;:;4929;4814;4534;4158;3573;3177;2985;3043;3047;3339;:;:
CZE;Czechia;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;:;20607;21678;21157;15686;17488;19433;20838;20442;19933;19217;:;:
DNK;Denmark;Europe;Northern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;3543;3758;3783;3679;3902;3438;3085;3258;3282;3503;3738;:;:
ESP;Spain;Europe;Southern Europe;Persons held;Male;Counts;Computed/SDG;:;:;:;:;3144;3275;3404;3199;3215;3122;2967;:;2668;:;2582;2461;2375;:;:
EST;Estonia;Europe;Northern Europe;Persons held;Male;Counts;Computed;2826;2936;3631;3607;3379;3306;3348;3118;3037;3085;3039;2908;2898;2930;2848;2729;2721;:;:
FIN;Finland;Europe;Northern Europe;Persons held;Male;Counts;Computed;:;:;:;:;58806;60135;58935;58600;62587;64357;64914;64162;64531;66167;66581;67525;68119;:;:
FRA;France;Europe;Western Europe;Persons held;Male;Counts;Computed;:;:;:;:;10634;11541;10785;11745;11901;11905;12033;11226;9125;9035;9460;10101;10401;:;:
GBR_EW;United Kingdom (England and Wales);Europe;Northern Europe;Persons held;Male;Counts;Computed/SDG;:;:;:;:;:;:;0;0;0;1;0;0;1;:;:;:;:;:;:
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Persons held;Male;Counts;Computed;:;15554;14757;13860;13432;13796;14426;15298;15971;15938;16485;16541;16199;15978;16067;15096;15379;:;:
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Persons held;Male;Counts;Computed/SDG;:;108;112;113;107;130;138;159;142;140;141;151;131;109;126;128;:;:;:
GRC;Greece;Europe;Southern Europe;Persons held;Male;Counts;Computed;2498;2591;:;:;3132;3359;3745;4171;4088;4141;3596;3096;3094;2982;:;:;:;:;:
HRV;Croatia;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;:;:;38038;47423;56683;63166;66244;65414;64209;61063;52371;51203;53599;56522;58432;59442;:;:
HUN;Hungary;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;:;:;1438;1743;1719;1795;1436;1605;1670;1524;1759;:;:
IRL;Ireland;Europe;Northern Europe;Persons held;Male;Counts;Computed;:;:;7341;6647;6276;6209;6672;6354;6142;5698;4789;4400;4051;3894;3474;3248;3120;:;:
ISL;Iceland;Europe;Northern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;149;71;68;57;65;49;50;68;69;61;41;:;:
ITA;Italy;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;7863;7827;7758;7523;7642;8283;8718;9498;9287;8831;8256;7059;6493;6268;6181;5850;:;:
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;:;:;703;705;728;663;657;600;635;623;600;651;688;647;623;:;:;:
LIE;Liechtenstein;Europe;Western Europe;Persons held;Male;Counts;Computed;178;196;279;357;500;603;466;550;549;538;571;544;528;516;535;565;691;:;:
LTU;Lithuania;Europe;Northern Europe;Persons held;Male;Counts;Computed;:;28;24;26;28;29;21;9;22;24;22;:;28;24;:;:;:;:;:
LUX;Luxembourg;Europe;Western Europe;Persons held;Male;Counts;Computed;:;791;833;:;:;1196;1458;1397;1290;1277;1045;1092;1096;1087;1093;1112;1064;:;:
LVA;Latvia;Europe;Northern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;13640;13440;13472;13155;12743;12031;11263;10351;10021;10278;10624;11053;:;:
