Iso3_code;Country;Region;Subregion;Indicator;Sex;Unit of measurement;Source;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
MCO;Monaco;Europe;Western Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;2230;2225;2225;:;:;:;:;3129;2710;:;:;:;:
MDA;Republic of Moldova;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;2698;2925;3068;3219;3227;3050;3338;3611;3797;3667;3891;3835;3943;3884;3513;3330;3301;:
MKD;North Macedonia;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;63434;82342;87683;86862;82248;83052;79593;80140;82612;77396;76574;70116;69567;71497;69789;71340;:;:
MLT;Malta;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;:;:;:;:;:;:;:;13033;12715;12174;12071;:;:
MNE;Montenegro;Europe;Southern Europe;Persons held;Male;Counts;Computed;10081;8983;8459;8243;7449;6409;6114;5920;6042;6156;6415;6854;7553;7228;7139;6534;6304;:;:
NLD;Netherlands;Europe;Western Europe;Persons held;Male;Counts;Computed;:;31513;35689;32496;27993;24986;25503;26973;29318;30395;31875;28619;26891;26044;22330;19844;19646;:;:
NOR;Norway;Europe;Northern Europe;Persons held;Male;Counts;Computed/SDG;:;:;:;:;:;:;:;751189;693680;644048;621422;616849;593289;517918;553430;517040;481499;:;:
POL;Poland;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;:;:;:;8718;9353;10543;10773;10628;9977;9617;9916;9698;10255;10417;10428;10616;:;:
PRT;Portugal;Europe;Southern Europe;Persons held;Male;Counts;Computed;8520;9021;8516;7849;7614;7756;8825;9479;9903;10199;9164;9406;9282;9322;9312;9522;9770;:;:
ROU;Romania;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;1212;1301;1298;1216;1307;1296;1433;1318;1265;1219;1320;1320;:;:
RUS;Russian Federation;Europe;Eastern Europe;Persons held;Male;Counts;Computed;49816;56247;:;:;:;:;:;67353;64363;61909;60404;58798;55737;53971;53184;53196;52910;:;51172
SRB;Serbia;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;:;6452;6279;5934;5393;5474;5364;5312;5365;5769;6311;:;:
SVK;Slovakia;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;:;:;5255;4992;5007;5259;5444;5324;5793;6302;6202;6142;6137;6193;6215;6164;:;:
SVN;Slovenia;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;:;:;:;:;:;:;107835;109032;:;:;:;:;:;54236;:;:;:;:
SWE;Sweden;Europe;Northern Europe;Persons held;Male;Counts;Computed;:;61962;70643;72146;74203;77265;77596;79779;80259;80776;78069;79777;80563;79772;80459;78122;78189;75499;74192
UKR;Ukraine;Europe;Eastern Europe;Persons held;Male;Counts;Computed;:;:;1296;1460;1456;1499;1478;1419;1628;1631;1732;1651;1404;1359;1356;1343;1433;:;:
VAT;Holy See;Europe;Southern Europe;Persons held;Male;Counts;Computed;:;6444;6521;6834;7005;7415;7540;7418;7711;7597;7461;7306;7336;7254;7106;7222;7806;6733;:
