Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Unit of measurement;Source;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS;:;459;:;:;:;:;502;:;617;769;574;583;367;415;380;375;566;492;:
LIE;Liechtenstein;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;:;:;22;7;:;8;10;17;12;7;8;40;30;12;13;25;25;16;:
LTU;Lithuania;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS;1362;1284;1127;997;955;978;1208;1196;1347;1179;1118;868;712;602;865;779;726;581;:
LUX;Luxembourg;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS/WPB-ICPR;:;:;352;352;329;335;308;318;264;286;267;304;314;343;304;320;267;:;:
LVA;Latvia;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;3505;3269;2662;2199;1710;1742;2000;2031;2035;1921;1523;1469;1389;1277;1051;981;949;810;:
MCO;Monaco;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External;13;14;11;23;15;20;12;3;18;22;22;:;11;11;:;:;:;:;:
MDA;Republic of Moldova;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/SDG;:;1401;1178;1035;700;580;564;653;609;668;736;807;762;941;1341;1265;477;388;:
MKD;North Macedonia;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/WPB-ICPR;217;204;136;208;:;673;955;474;:;:;500;:;350;254;253;255;:;:;:
MLT;Malta;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;80;87;75;88;:;185;178;233;203;170;196;138;125;127;171;188;245;260;:
MNE;Montenegro;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;229;300;352;411;431;568;685;405;338;360;304;239;298;311;309;348;367;331;:
NLD;Netherlands;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;6400;6900;6670;6198;6093;5730;3942;4054;4143;3840;3434;2888;2736;2748;2791;2893;3104;3147;:
NOR;Norway;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;621;537;535;530;575;598;577;775;884;910;961;1015;1044;1055;1045;898;848;834;:
POL;Poland;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;18240;15055;13793;14834;11903;9395;9976;8811;8507;7354;6858;6238;4162;5396;7239;7360;8606;8766;:
PRT;Portugal;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS;3510;3000;3044;2921;2327;2108;2141;2307;2470;2661;2592;2330;2303;2117;2105;2196;2271;2273;:
ROU;Romania;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;6707;6024;5383;4282;2947;3112;4408;4630;3313;3179;1845;1601;1485;1585;1370;1367;1587;1694;:
RUS;Russian Federation;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS;:;76622;86869;84101;80330;71175;65162;56338;53465;56181;57897;60208;62337;55173;53343;51597;50963;67916;:
SRB;Serbia;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS;:;:;2235;:;2235;2436;2693;3332;3160;2532;1894;1593;1538;1732;1616;1691;1903;1959;:
SVK;Slovakia;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;SDG/CTS/External;2980;3091;2846;2243;1849;1553;1621;1464;1407;1308;1216;1319;1346;1438;1516;1579;1631;1657;:
SVN;Slovenia;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;250;295;269;271;263;224;340;91;89;78;66;55;171;135;274;302;332;401;:
SWE;Sweden;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;1401;1561;1479;1597;1432;1377;1445;1472;1521;1444;1346;1488;1399;1427;1565;1721;1885;2021;:
UKR;Ukraine;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/WPB-ICPR/External;24950;22870;19158;18623;18416;20018;23371;39363;37632;:;30854;28455;:;:;19278;:;:;19586;:
VAT;Holy See;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS;:;:;:;:;:;:;0;0;0;1;0;0;0;:;:;:;:;:;:
