Iso3_code;Country;Region;Subregion;Indicator;Sex;Unit of measurement;Source;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Persons held;Female;Counts;Computed;:;59;66;79;84;133;116;98;84;82;89;109;121;98;93;109;86;:;:
AND;Andorra;Europe;Southern Europe;Persons held;Female;Counts;Computed;:;:;:;:;8;13;10;8;7;4;6;12;9;4;5;4;6;:;:
AUT;Austria;Europe;Western Europe;Persons held;Female;Counts;Computed/WPB-ICPR;:;:;439;441;428;408;474;531;553;579;544;507;535;492;518;563;606;:;:
BEL;Belgium;Europe;Western Europe;Persons held;Female;Counts;WPB-ICPR/Computed;2540;2318;2275;2593;3073;3000;2909;2988;2670;1940;1986;2232;2611;:;:;2834;:;:;:
BGR;Bulgaria;Europe;Eastern Europe;Persons held;Female;Counts;Computed;:;:;:;:;:;:;:;419;:;:;:;:;529;:;:;:;:;:;:
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Persons held;Female;Counts;Computed;:;:;:;:;:;:;:;:;:;:;:;:;:;:;75;72;109;:;:
BLR;Belarus;Europe;Eastern Europe;Persons held;Female;Counts;Computed/WPB-ICPR;297;352;390;378;338;292;241;291;289;309;264;259;246;228;219;215;216;:;:
CHE;Switzerland;Europe;Western Europe;Persons held;Female;Counts;Computed;77;110;140;186;190;209;225;236;250;207;194;190;164;123;147;170;194;:;:
CZE;Czechia;Europe;Eastern Europe;Persons held;Female;Counts;Computed;:;834;909;928;1001;1086;1006;1293;1492;1455;959;1170;1433;1643;1638;1644;1736;:;:
DEU;Germany;Europe;Western Europe;Persons held;Female;Counts;WPB-ICPR;105;174;:;:;179;155;178;185;164;150;189;145;118;150;136;132;182;:;:
DNK;Denmark;Europe;Northern Europe;Persons held;Female;Counts;Computed;133;155;141;137;156;191;150;194;185;164;156;:;155;:;141;123;112;:;:
ESP;Spain;Europe;Southern Europe;Persons held;Female;Counts;Computed/SDG;:;:;:;:;:;:;:;0;:;:;:;:;0;:;0;:;:;:;:
EST;Estonia;Europe;Northern Europe;Persons held;Female;Counts;Computed;149;171;236;244;246;224;241;246;231;221;256;240;237;226;234;227;224;:;:
FIN;Finland;Europe;Northern Europe;Persons held;Female;Counts;Computed;:;:;:;:;2270;2117;2043;1944;2200;2215;2161;2108;2147;2265;2393;2534;2532;:;:
FRA;France;Europe;Western Europe;Persons held;Female;Counts;Computed;:;:;:;:;:;:;:;3794;:;:;:;:;3753;:;:;:;:;:;:
FRO;Faroe Islands;Europe;Northern Europe;Persons held;Female;Counts;WPB-ICPR;:;:;:;:;:;:;:;:;:;:;:;:;:;4;:;:;:;:;:
GBR_EW;United Kingdom (England and Wales);Europe;Northern Europe;Persons held;Female;Counts;Computed/SDG;:;:;:;:;621;774;579;604;578;570;660;572;486;525;551;553;490;:;:
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Persons held;Female;Counts;Computed;:;:;:;:;:;:;0;0;0;0;0;0;0;:;:;:;:;:;:
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Persons held;Female;Counts;Computed/SDG;1033;992;998;962;921;947;1006;1030;1239;1241;1356;1349;1250;1273;1276;1207;1285;:;:
GIB;Gibraltar;Europe;Southern Europe;Persons held;Female;Counts;WPB-ICPR;:;7;7;6;8;10;7;8;8;13;6;3;8;7;11;8;:;:;:
GRC;Greece;Europe;Southern Europe;Persons held;Female;Counts;Computed;71;69;:;:;98;111;123;147;138;155;122;120;116;95;:;:;:;:;:
HRV;Croatia;Europe;Southern Europe;Persons held;Female;Counts;Computed;:;:;:;:;:;:;:;8;:;:;:;:;7;:;:;5;:;:;:
HUN;Hungary;Europe;Eastern Europe;Persons held;Female;Counts;Computed;2572;2663;2907;1756;2274;2601;2832;3019;2911;2893;2785;2374;2207;2379;2516;2699;2790;:;:
