Iso3_code;Country;Region;Subregion;Indicator;Sex;Unit of measurement;Source;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
IMN;Isle of Man;Europe;Northern Europe;Persons held;Female;Counts;WPB-ICPR;:;:;:;:;:;:;:;35;46;49;57;59;42;43;39;43;47;:;:
IRL;Ireland;Europe;Northern Europe;Persons held;Female;Counts;Computed;:;:;305;336;335;388;423;426;419;419;347;345;358;349;291;274;294;:;:
ISL;Iceland;Europe;Northern Europe;Persons held;Female;Counts;Computed;:;:;:;:;:;:;9;5;3;3;3;4;3;4;4;2;2;:;:
ITA;Italy;Europe;Southern Europe;Persons held;Female;Counts;Computed;197;262;310;321;343;358;372;421;422;442;430;380;296;322;331;304;288;:;:
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Persons held;Female;Counts;WPB-ICPR/Computed;:;:;:;32;36;34;39;24;37;31;33;26;40;36;37;33;:;:;:
LIE;Liechtenstein;Europe;Western Europe;Persons held;Female;Counts;Computed;11;15;15;18;28;29;28;34;35;47;44;37;41;37;58;72;63;:;:
LTU;Lithuania;Europe;Northern Europe;Persons held;Female;Counts;Computed;:;6;7;11;8;6;2;3;10;9;7;:;6;9;:;:;:;:;:
LUX;Luxembourg;Europe;Western Europe;Persons held;Female;Counts;Computed;:;8;16;:;:;20;41;60;38;54;19;31;35;36;26;13;26;:;:
LVA;Latvia;Europe;Northern Europe;Persons held;Female;Counts;Computed;:;:;:;:;:;970;924;896;814;730;690;671;499;580;596;627;724;:;:
MCO;Monaco;Europe;Western Europe;Persons held;Female;Counts;Computed;:;:;43;39;:;:;:;59;:;:;:;:;:;102;:;:;:;:;:
MDA;Republic of Moldova;Europe;Eastern Europe;Persons held;Female;Counts;Computed;167;176;178;207;183;192;212;226;255;255;202;212;221;249;280;278;231;:;:
MKD;North Macedonia;Europe;Southern Europe;Persons held;Female;Counts;Computed/WPB-ICPR;1317;1541;2533;2846;2786;2730;2697;2779;2692;2847;2769;2771;2579;2642;2983;3029;3272;:;:
MLT;Malta;Europe;Southern Europe;Persons held;Female;Counts;Computed;585;947;895;911;:;:;:;627;:;:;:;:;862;884;872;847;876;:;:
MNE;Montenegro;Europe;Southern Europe;Persons held;Female;Counts;Computed;510;394;417;436;446;421;407;392;409;419;431;459;498;522;492;452;408;:;:
NLD;Netherlands;Europe;Western Europe;Persons held;Female;Counts;Computed;1532;1494;1680;1542;1397;1226;1213;1271;1376;1422;1559;1537;1443;1411;1120;948;932;:;:
NOR;Norway;Europe;Northern Europe;Persons held;Female;Counts;Computed/SDG;:;35994;41879;48426;51980;55922;:;66848;61968;57861;55865;54800;52796;45248;48746;46126;42429;:;:
POL;Poland;Europe;Eastern Europe;Persons held;Female;Counts;Computed;:;:;:;:;:;:;:;0;:;:;:;:;:;:;:;:;:;:;:
PRT;Portugal;Europe;Southern Europe;Persons held;Female;Counts;Computed/WPB-ICPR;:;:;:;:;325;348;432;438;442;249;414;372;366;417;390;443;461;:;:
ROU;Romania;Europe;Eastern Europe;Persons held;Female;Counts;Computed;353;401;381;400;372;410;491;552;622;651;589;614;631;673;716;772;785;:;:
RUS;Russian Federation;Europe;Eastern Europe;Persons held;Female;Counts;Computed;27;36;48;53;60;59;64;53;57;70;64;89;81;81;97;76;76;:;:
SMR;San Marino;Europe;Southern Europe;Persons held;Female;Counts;WPB-ICPR;4396;4657;:;:;:;:;:;5735;5225;5138;4991;4911;4658;4390;4304;4357;4303;:;3925
SRB;Serbia;Europe;Southern Europe;Persons held;Female;Counts;Computed;272;320;375;401;385;392;374;394;390;362;330;333;327;346;348;345;408;:;:
SVK;Slovakia;Europe;Eastern Europe;Persons held;Female;Counts;Computed;:;:;332;312;283;302;346;325;304;310;350;317;356;370;371;387;393;:;:
SVN;Slovenia;Europe;Southern Europe;Persons held;Female;Counts;Computed;9230;9419;8599;7717;6986;6483;6405;6829;6904;:;:;:;:;:;2862;:;:;:;:
SWE;Sweden;Europe;Northern Europe;Persons held;Female;Counts;Computed;3570;4013;4478;4414;4242;4409;4240;4225;4169;4110;3815;3901;3881;3832;3982;3782;3754;3241;3172
UKR;Ukraine;Europe;Eastern Europe;Persons held;Female;Counts;Computed;:;:;34;52;48;49;47;46;45;51;64;58;43;48;55;64;76;:;:
VAT;Holy See;Europe;Southern Europe;Persons held;Female;Counts;Computed;219;332;334;353;371;411;424;435;468;459;432;425;408;371;360;373;399;271;:
