Iso3_code;Country;Region;Subregion;Indicator;Sex;Unit of measurement;Source;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
MCO;Monaco;Europe;Western Europe;Persons held;Total;Counts;CTS/External/WPB-ICPR;1608;1782;2132;2038;:;2235;:;2516;2515;2543;:;3116;3427;3231;3031;3029;:;:;:
MDA;Republic of Moldova;Europe;Eastern Europe;Persons held;Total;Counts;SDG/CTS;2822;2899;3170;3387;3446;3477;3340;3564;3866;4052;3869;4103;4056;4192;4164;3791;3561;3533;:
MKD;North Macedonia;Europe;Southern Europe;Persons held;Total;Counts;External;79281;80368;84875;90529;89648;84978;85749;82372;82832;85459;80165;79345;72695;72209;74480;72818;74612;68354;:
MLT;Malta;Europe;Southern Europe;Persons held;Total;Counts;External/CTS;13835;13677;13418;13143;11587;10807;11287;11839;12955;13875;14535;14198;14373;13917;13587;13021;12947;11502;:
MNE;Montenegro;Europe;Southern Europe;Persons held;Total;Counts;CTS;10591;9377;8876;8679;7895;6830;6521;6312;6451;6575;6846;7313;8051;7750;7635;6990;6712;:;:
NLD;Netherlands;Europe;Western Europe;Persons held;Total;Counts;CTS;42815;39031;36700;34038;29390;26212;26716;28244;30694;31817;33434;30156;28334;27455;23450;20792;20578;21753;:
NOR;Norway;Europe;Northern Europe;Persons held;Total;Counts;CTS;:;763115;823444;871693;883170;883723;863990;819280;755648;701909;677287;671649;646085;630155;602176;563166;523928;482851;:
POL;Poland;Europe;Eastern Europe;Persons held;Total;Counts;CTS;:;:;:;:;:;:;:;:;:;:;:;:;2;:;3;6;:;:;:
PRT;Portugal;Europe;Southern Europe;Persons held;Total;Counts;CTS;7487;7654;8078;7893;9043;9701;10975;11211;11070;10226;10031;10288;10064;10672;10807;10871;11077;10540;:
ROU;Romania;Europe;Eastern Europe;Persons held;Total;Counts;CTS;8873;9422;8897;8249;7986;8166;9316;10031;10525;10850;9753;10020;9913;9995;10028;10294;10555;10519;:
RUS;Russian Federation;Europe;Eastern Europe;Persons held;Total;Counts;External/CTS;1070;1085;1132;1301;1336;1318;1365;1351;1273;1377;1360;1522;1399;1308;1316;1346;1396;1449;:
SMR;San Marino;Europe;Southern Europe;Persons held;Total;Counts;External;56096;59375;61054;64021;67100;73558;76079;73929;70472;68597;66765;65017;61614;59589;58812;58883;58517;55180;55097
SRB;Serbia;Europe;Southern Europe;Persons held;Total;Counts;External/CTS;6755;7332;7377;7397;6977;7073;7286;6846;6669;6296;5723;5807;5691;5658;5713;6114;6719;7297;:
SVK;Slovakia;Europe;Eastern Europe;Persons held;Total;Counts;CTS/UN-Covid Initiative;4842;5509;5723;5567;5278;5303;5605;5765;5626;6102;6634;6519;6498;6507;6564;6602;6568;6183;:
SVN;Slovenia;Europe;Southern Europe;Persons held;Total;Counts;CTS;191241;192047;170923;160725;149690;145946;147716;154027;154029;:;147112;:;73431;60771;57100;:;55078;:;:
SWE;Sweden;Europe;Northern Europe;Persons held;Total;Counts;CTS;73657;74488;75121;76560;78445;81674;81836;84004;84428;84886;81884;83678;84444;83604;84441;81904;81943;78740;77364
UKR;Ukraine;Europe;Eastern Europe;Persons held;Total;Counts;CTS/External/WPB-ICPR;:;:;1330;1512;1504;1548;1525;1465;1673;1682;1796;1709;1447;1407;1411;1407;1509;1374;:
VAT;Holy See;Europe;Southern Europe;Persons held;Total;Counts;CTS;6606;6776;6856;7187;7376;7827;7964;7854;8179;8057;7894;7731;7744;7625;7466;7595;8205;7004;:
