DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EE,2022,14,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2016,26,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2017,25,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2018,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2019,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2020,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2021,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2022,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2016,38,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2017,39,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2018,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2019,37,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2020,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2021,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2022,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2016,26,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2017,25,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2018,23,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2019,24,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2020,23,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2021,23,b
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2022,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU28,2016,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU28,2017,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU28,2018,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU28,2019,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2016,10,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2017,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2018,9,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2019,9,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2020,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2021,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2022,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2016,29,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2017,26,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2018,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2019,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2020,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2021,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2022,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HR,2016,38,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HR,2017,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HR,2018,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HR,2019,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HR,2020,37,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HR,2021,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HR,2022,38,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HU,2016,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HU,2017,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HU,2018,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HU,2019,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HU,2020,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HU,2021,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,HU,2022,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IE,2016,13,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IE,2017,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IE,2018,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IE,2019,10,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IE,2020,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IE,2021,15,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IE,2022,14,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IT,2016,36,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IT,2017,38,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IT,2018,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IT,2019,29,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IT,2020,37,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IT,2021,38,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,IT,2022,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LT,2016,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LT,2017,25,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LT,2018,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LT,2019,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LT,2020,26,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LT,2021,25,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LT,2022,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LU,2016,6,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LU,2017,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LU,2018,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LU,2019,8,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LU,2020,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LU,2021,6,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LU,2022,6,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LV,2016,38,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LV,2017,36,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LV,2018,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LV,2019,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LV,2020,31,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LV,2021,30,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,LV,2022,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,MT,2016,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,MT,2017,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,MT,2018,18,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,MT,2019,18,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,MT,2020,20,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,MT,2021,18,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,MT,2022,20,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,NL,2016,9,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,NL,2017,8,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,NL,2018,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,NL,2019,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,NL,2020,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,NL,2021,8,
