DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2010,27.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2011,34.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2012,33.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2013,36.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2014,39.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2015,42.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2016,42.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2017,46.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2018,48.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2019,59.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2020,63.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2021,73.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2000,102.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2001,107.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2002,114.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2003,115.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2004,119.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2005,123.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2006,123.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2007,122.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2008,121.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2009,130.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2010,146.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2011,186.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2012,188.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2013,185.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2014,189.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2015,217.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2016,208.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2017,205.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2018,201.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2019,214.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2020,226.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2021,226.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2000,20.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2001,22.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2002,24.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2003,27.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2004,27.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2005,29.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2006,31.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2007,32.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2008,31.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2009,31.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2010,30.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2011,30.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2012,30.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2013,29.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2014,25.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2015,25.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2016,27.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2017,30.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2018,40.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2019,34.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2020,37.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CY,2021,36.8,p
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2000,19.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2001,22.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2002,27.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2003,27.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2004,28.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2005,34.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2006,35.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2007,39.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2008,46.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2009,45.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2010,44.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2011,46.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2012,44.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2013,45.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2014,44.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2015,51.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2016,51.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2017,54.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2018,59.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2019,65.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2020,65.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CZ,2021,67.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2000,109.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2001,114.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2002,117.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2003,117.3,
